sep=,
portal,cod_cliente,razao_cliente,nome_cliente,doc_cliente,tipo_cliente,endereco_cliente,numero_rua_cliente,complement_end_cli,bairro_cliente,cep_cliente,cidade_cliente,uf_cliente,pais,fone_cliente,email_cliente,sexo,data_cadastro,data_nascimento
8560,6,BELSHOP PERFUMARIA E COSMETICA LTDA EPP ,BELSHOP MATRIZ,03772229000132,A,RUA DOS ANDRADAS,1454 ,,CENTRO HISTÓRICO,90020-010,PORTO ALEGRE,RS,Brasil,,, ,17/11/2016 12:00:00,
8560,7,BELSHOP PERFUMARIA E COSMETICA LTDA EPP,BELSHOP SHOPPING TOTAL,03772229001880,A,AVENIDA CRISTÓVÃO COLOMBO,545,LOJA 1049,FLORESTA,90560-003,PORTO ALEGRE,RS,Brasil,(51)3013-3900,, ,17/11/2016 12:00:00,
8560,8,CAMILA SILVA FLORES,CAMILA SILVA FLORES,01485850002,C,RUA PAULO RENATO KETZER DE SOUZA,395,,RUBEM BERTA,91250-554,PORTO ALEGRE,RS,Brasil,(51)3392-5766,camila_s_flores@hotmail.com,F,21/11/2016 12:00:00,14/12/1987 12:00:00
8560,9,BELSHOP PERFUMARIA E COMETICA LTDA,BELSHOP PERFUMARIA E COMETICA LTDA,03772229001538,A,RUA RIACHUELO,1514,LOJA,CENTRO HISTÓRICO,90010-270,PORTO ALEGRE,RS,Brasil,(51)3029-4541,andradas@lojasbelshop.com.br, ,21/11/2016 12:00:00,
8560,10,CIELO ,CIELO S.A,01027058000191,F,ALAMEDA XINGU,512,ANDAR 21 AO 31,ALPHAVILLE INDUSTRIAL,06455-030,BARUERI,SP,Brasil,,, ,21/11/2016 12:00:00,
8560,11,BANRISUL CARTOES ,BANRISUL CARTOES,92934215000106,F,RUA CALDAS JÚNIOR,120,ANDAR 9,CENTRO HISTÓRICO,90010-260,PORTO ALEGRE,RS,Brasil,,, ,21/11/2016 12:00:00,
8560,12,REDECARD ,REDECARD S/A,01425787000104,F,AVENIDA MARCOS PENTEADO DE ULHÔA RODRIGUES,939,LOJA 1 ANDAR 12 AO 14,TAMBORÉ,06460-040,BARUERI,SP,Brasil,,, ,21/11/2016 12:00:00,
8560,13,BELSHOP PERFUMARIA E COSMETICA LTDA,BELSHOP | CD | RS,03772229000213,A,RUA GENERAL SALVADOR PINHEIRO,917,,VILA JARDIM,91320-240,PORTO ALEGRE,RS,Brasil,(51)3013-3900,, ,21/11/2016 12:00:00,
8560,14,VANIA DIAS ENES,VANIA DIAS ENES,82911118049,A,RUA DOUTOR OTÁVIO SANTOS,211,BL09,JARDIM ITU SABARÁ,91210-001,PORTO ALEGRE,RS,Brasil,(51)3381-5491,auxiliarcompras@lojasbelshop.com.br,F,24/11/2016 12:00:00,17/11/1983 12:00:00
8560,15,DARCO DISTRIBUIDORA DE COSMETICOS LTDA,SALON LINE,19081766000176,A,RUA CAMPOS SALES,980,,JARDIM BELVAL,06420-390,BARUERI,SP,Brasil,(11)4134-2711,, ,24/11/2016 12:00:00,
8560,20,BELOCAP PRODUTOS CAPILARES LTDA COM,BELOCAP PRODUTOS CAPILARES LTDA COM,03027842800038,A,AUTO ESTR.RIO D`OURO 800       PAVUNA,0,,,21535-030,RIO DE JANEIRO,RJ,BRASIL,,,M,24/11/2016 02:34:00,
8560,21,BEAUTYSTAR COM PERF COSMET(M BEAUTY),BEAUTYSTAR COM PERF COSMET(M BEAUTY),13675395000174,A,BARRA BONITA,92,,TATUAPE,03073-040,SAO PAULO,SP,BRASIL,1120918152,lino@cflino.com.br,M,24/11/2016 02:34:00,
8560,22,CALESTINI DISTRIB LTDA. (MARCO BONI),CALESTINI DISTRIB LTDA. (MARCO BONI),08640582000182,A,ESTRADA DOS ESTUDANTES,0,,GRANJA VIANA II,06707-050,COTIA,SP,BRASIL,1146156500,wagner.garrido@marcoboni.com.br/smcomelli@terra.co,M,24/11/2016 02:34:00,
8560,23,BELOCAP DIVISAO GARNIER (COLORAMA),BELOCAP DIVISAO GARNIER (COLORAMA),30278428000161,A,RODOVIA RIO-MAGÉ,4791,ARMAZÉNS 101 A 148 GALPÃO: 01,CENTRO,25251-460,RIO DE JANEIRO,RJ,BRASIL,3003135151,,M,24/11/2016 02:34:00,
